City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE_OLD;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential_old;Mobile_potential
Pfaffenhofen;0;250.001 - 500.000;500000;17;14;10 - 19;291;290;291;12;12;43;41;4;1211.0992838554798;1461.0449182722655
Frankfurt;0;2.500.001 - 5.000.000;5000000;41;20;10 - 19;291;290;291;19;20;1331;1198;188;1913.6199638303997;2698.132974397693
Schwerte;0;500.001 - 2.500.000;2100000;24;14;20 - 49;291;291;291;20;21;293;287;15;1955.7698445154797;2659.450137714524
Wuppertal;0;2.500.001 - 5.000.000;3000000;27;14;20 - 49;291;290;291;42;45;425;414;25;2060.29490513628;2873.5222597588
Hattingen;0;500.001 - 2.500.000;1600000;44;4;10 - 19;291;291;290;10;11;;;;2021.5339429234805;2655.0435046650414
Biberach;0;5.000.001 - 25.000.000;5500000;42;14;10 - 19;291;291;292;11;15;36;35;1;1598.2353816814798;2181.9580175919937
Bochum;0;500.001 - 2.500.000;1500000;44;31;20 - 49;291;290;291;40;41;617;603;39;2409.3534603106796;2845.690847778837
Friedewald;0;5.000.001 - 25.000.000;6500000;24;14;20 - 49;291;292;291;48;48;13;13;0;2045.55427548828;2069.539311571348
Meißen;0;2.500.001 - 5.000.000;3438253;26;14;20 - 49;291;291;291;26;26;74;71;9;2070.43777989948;2955.478067147199
Wuppertal;0;500.001 - 2.500.000;1500000;23;14;20 - 49;291;291;291;32;34;334;328;15;1866.4351572922797;1870.9728100993775
Mülheim;0;5.000.001 - 25.000.000;8300000;41;14;20 - 49;291;290;290;25;27;675;669;31;2017.6622658250792;2621.092440243979
Bamberg;0;500.001 - 2.500.000;1390000;17;16;10 - 19;291;290;291;16;20;;;;1720.6957388602798;2034.9558514429327
Lahnau;0;5.000.001 - 25.000.000;7000000;20;16;20 - 49;291;291;291;40;43;119;117;5;1997.7600687610798;2268.634524545302
